Intake Date,Intake Type,Intake Condition,Animal Type,Group,Breed 1
8/16/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/16/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/16/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
8/16/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/16/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/16/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/16/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/16/13,STRAY,ALIVE,CAT,SHORTHAIR,AMER SH
8/16/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/16/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/16/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
