Intake Date,Intake Type,Intake Condition,Animal Type,Group,Breed 1
5/20/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/20/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/20/13,STRAY,ALIVE,CAT,SHORTHAIR,AMER SH
5/20/13,STRAY,ALIVE,CAT,SHORTHAIR,AMER SH
5/20/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/20/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
5/20/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
5/20/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
5/20/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
5/20/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/20/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/20/13,STRAY,ALIVE,CAT,SHORTHAIR,AMER SH
5/20/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/19/13,OWNER SUR,ALIVE,CAT,LONGHAIR,DOMESTIC MH
5/19/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,AMER SH
5/19/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,AMER SH
5/19/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/19/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/19/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/19/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,AMER SH
5/19/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/19/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/19/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/18/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/18/13,STRAY,ALIVE,CAT,SHORTHAIR,AMER SH
5/18/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/18/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/18/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/18/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/18/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/18/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/18/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/18/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/18/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/18/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/18/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC LH
5/18/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/18/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/18/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/18/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,SIAMESE
5/18/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/18/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
5/18/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/18/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
5/18/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/18/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/18/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
