Intake Date,Intake Type,Intake Condition,Animal Type,Group,Breed 1
11/2/13,STRAY,ALIVE,CAT,LONGHAIR,MAINE COON
11/2/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
11/2/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
11/2/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,AMER SH
11/2/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/2/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/2/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/2/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/2/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,SNOWSHOE
11/2/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,SIAMESE
11/2/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
11/2/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/2/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/2/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/2/13,OWNER SUR,ALIVE,CAT,LONGHAIR,DOMESTIC LH
11/2/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
11/2/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/2/13,STRAY,DEAD,CAT,SHORTHAIR,DOMESTIC SH
11/1/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC LH
11/1/13,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/1/13,STRAY,DEAD,CAT,SHORTHAIR,DOMESTIC SH
11/1/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/1/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
11/1/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/1/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
10/31/13,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
10/31/13,STRAY,LITTER,CAT,SHORTHAIR,DOMESTIC SH
10/31/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
10/31/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
10/31/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
10/31/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
10/31/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
10/31/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
10/31/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
10/31/13,STRAY,LITTER,CAT,SHORTHAIR,DOMESTIC SH
10/31/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
10/31/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
10/31/13,STRAY,LITTER,CAT,SHORTHAIR,DOMESTIC SH
10/30/13,OWNER SUR,ALIVE,CAT,LONGHAIR,DOMESTIC MH
10/30/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
10/30/13,OWNER SUR,DEAD,CAT,SHORTHAIR,DOMESTIC SH
10/30/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
10/30/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
10/30/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
10/30/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
10/30/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
10/30/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
10/30/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
